title,category,slug,code_rome,salaire_median_annuel,salaire_median_mensuel,niveau_formation,experience_requise,nb_emplois,nb_emplois_projete,perspectives_pct,perspectives_desc,variation_emploi,url
Plombiers-chauffagistes,construction-btp,plombiers-chauffagistes,F1603,,,CAP/BEP,,,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1603
Peintres en bâtiment,construction-btp,peintres-batiment,F1606,23760,1980,CAP/BEP,,128000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1606
Conducteurs de travaux,construction-btp,conducteurs-travaux,F1201,39360,3280,BTS/DUT (Bac+2),,52000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1201
Conducteurs routiers,transport-logistique,conducteurs-routiers,N4101,24960,2080,CAP/BEP,,278000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/N4101
Agents de transit,transport-logistique,agents-transit,N1202,31800,2650,BTS/DUT (Bac+2),,92000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/N1202
Magasiniers,transport-logistique,magasiniers,N1103,31800,2650,CAP/BEP,,92000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/N1103
Livreurs,transport-logistique,livreurs,N4105,24960,2080,Sans diplôme,,278000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/N4105
Médecins généralistes,sante,medecins-generalistes,J1102,64080,5340,Doctorat (Bac+8),,96000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1102
Pharmaciens,sante,pharmaciens,J1202,46200,3850,Doctorat (Bac+8),,74000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1202
Kinésithérapeutes,sante,kinesitherapeutes,J1404,33600,2800,Master (Bac+5),,105000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1404
Chirurgiens-dentistes,sante,chirurgiens-dentistes,J1103,50400,4200,Doctorat (Bac+8),,40000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1103
Sages-femmes,sante,sages-femmes,J1104,28800,2400,Master (Bac+5),,24000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1104
Psychologues,sante,psychologues,K1104,26400,2200,Master (Bac+5),,80000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1104
Avocats,droit-justice,avocats,K1903,45600,3800,Master (Bac+5),,79000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1903
Notaires,droit-justice,notaires,K1901,43200,3600,Master (Bac+5),,17000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1901
Agents immobiliers,banque-assurance-immobilier,agents-immobiliers,C1504,29040,2420,BTS/DUT (Bac+2),,148000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/C1504
Conseillers bancaires,banque-assurance-immobilier,conseillers-bancaires,C1206,32160,2680,BTS/DUT (Bac+2),,158000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/C1206
Agents d'assurance,banque-assurance-immobilier,agents-assurance,C1102,32160,2680,BTS/DUT (Bac+2),,158000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/C1102
Agriculteurs,agriculture-peche,agriculteurs,A1101,21840,1820,Baccalauréat,,165000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1101
Jardiniers-paysagistes,agriculture-peche,jardiniers-paysagistes,A1203,,,CAP/BEP,,,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1203
Boulangers-pâtissiers,commerce-vente,boulangers-patissiers,D1102,21360,1780,CAP/BEP,,218000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/D1102
Bouchers,commerce-vente,bouchers,D1101,21360,1780,CAP/BEP,,218000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/D1101
Coiffeurs,services-personne,coiffeurs,D1202,20400,1700,CAP/BEP,,110000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/D1202
Esthéticiens,services-personne,estheticiens,D1208,20400,1700,CAP/BEP,,110000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/D1208
Assistants maternels,services-personne,assistants-maternels,K1303,18960,1580,CAP/BEP,,695000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1303
Aides à domicile,services-personne,aides-domicile,K1304,18960,1580,Sans diplôme,,695000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1304
Agents d'entretien,services-collectivite,agents-entretien,K2204,,,Sans diplôme,,,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K2204
Secrétaires,support-entreprise,secretaires,M1607,52200,4350,Baccalauréat,,6200,,-5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1607
Assistants de direction,support-entreprise,assistants-direction,M1604,,,BTS/DUT (Bac+2),,,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1604
Responsables des ressources humaines,support-entreprise,responsables-rh,M1503,48960,4080,Master (Bac+5),,42000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1503
Contrôleurs de gestion,support-entreprise,controleurs-gestion,M1204,41400,3450,Master (Bac+5),,72000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1204
Directeurs de magasin,commerce-vente,directeurs-magasin,D1301,50400,4200,BTS/DUT (Bac+2),,180000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/D1301
Responsables logistiques,transport-logistique,responsables-logistiques,N1302,31800,2650,Licence (Bac+3),,92000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/N1302
Techniciens de maintenance industrielle,industrie,techniciens-maintenance-industrielle,I1304,26160,2180,BTS/DUT (Bac+2),,92000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/I1304
Soudeurs,industrie,soudeurs,H2913,26160,2180,CAP/BEP,,82000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/H2913
Opérateurs de production,industrie,operateurs-production,H3302,30000,2500,CAP/BEP,,195000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/H3302
Ingénieurs en mécanique,industrie,ingenieurs-mecanique,H1206,42960,3580,Master (Bac+5),,48000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/H1206
Techniciens qualité,industrie,techniciens-qualite,H1502,42960,3580,BTS/DUT (Bac+2),,48000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/H1502
Designers graphiques,communication-media,designers-graphiques,E1205,28560,2380,Licence (Bac+3),,48000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/E1205
Journalistes,communication-media,journalistes,E1106,29760,2480,Master (Bac+5),,36000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/E1106
Rédacteurs web,communication-media,redacteurs-web,E1104,27720,2310,Licence (Bac+3),,42000,,-5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/E1104
Chargés de communication,communication-media,charges-communication,E1103,33600,2800,Master (Bac+5),,25000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/E1103
Community managers,communication-media,community-managers,E1101,30000,2500,Licence (Bac+3),,95000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/E1101
Administrateurs systèmes et réseaux,informatique-telecoms,administrateurs-systemes-reseaux,M1801,46200,3850,Master (Bac+5),,182000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1801
Chefs de projets informatiques,informatique-telecoms,chefs-projets-informatiques,M1803,44160,3680,Master (Bac+5),,88000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1803
Data analysts,informatique-telecoms,data-analysts,M1403,51360,4280,Master (Bac+5),,52000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1403
Techniciens support informatique,informatique-telecoms,techniciens-support-informatique,I1401,44160,3680,BTS/DUT (Bac+2),,88000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/I1401
Architectes,construction-btp,architectes,F1101,41400,3450,Master (Bac+5),,38000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1101
Géomètres-topographes,construction-btp,geometres-topographes,F1107,41400,3450,BTS/DUT (Bac+2),,38000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1107
Mécaniciens automobiles,industrie,mecaniciens-automobiles,I1604,24000,2000,CAP/BEP,,120000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/I1604
Carrossiers,industrie,carrossiers,I1606,24000,2000,CAP/BEP,,120000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/I1606
Sapeurs-pompiers,services-collectivite,sapeurs-pompiers,K1705,,,Baccalauréat,,,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1705
Policiers,services-collectivite,policiers,K1706,27000,2250,Baccalauréat,,155000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1706
Gendarmes,services-collectivite,gendarmes,K1707,27000,2250,Baccalauréat,,155000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1707
Éducateurs spécialisés,social,educateurs-specialises,K1207,24600,2050,Licence (Bac+3),,105000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1207
Assistants de service social,social,assistants-service-social,K1201,25800,2150,Licence (Bac+3),,145000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1201
Animateurs socioculturels,social,animateurs-socioculturels,K1206,24600,2050,Baccalauréat,,105000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1206
Directeurs généraux,direction-entreprise,directeurs-generaux,M1302,66000,5500,Master (Bac+5),,38000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1302
Directeurs financiers,direction-entreprise,directeurs-financiers,M1207,66000,5500,Master (Bac+5),,38000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1207
Responsables marketing,commerce-vente,responsables-marketing,M1705,37800,3150,Master (Bac+5),,28000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1705
Commerciaux terrain,commerce-vente,commerciaux-terrain,D1407,34680,2890,BTS/DUT (Bac+2),,242000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/D1407
Télévendeurs,commerce-vente,televendeurs,D1408,,,Baccalauréat,,,,-5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/D1408
Acheteurs,support-entreprise,acheteurs,M1101,34680,2890,Licence (Bac+3),,242000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1101
Charpentiers,construction-btp,charpentiers,F1501,23760,1980,CAP/BEP,,128000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1501
Couvreurs,construction-btp,couvreurs,F1610,23760,1980,CAP/BEP,,128000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1610
Menuisiers,industrie,menuisiers,H2206,23760,1980,CAP/BEP,,128000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/H2206
Techniciens en électronique,industrie,techniciens-electronique,I1305,34200,2850,BTS/DUT (Bac+2),,38000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/I1305
Ingénieurs en informatique,informatique-telecoms,ingenieurs-informatique,M1802,46200,3850,Master (Bac+5),,182000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1802
Experts en cybersécurité,informatique-telecoms,experts-cybersecurite,M1806,46200,3850,Master (Bac+5),,182000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1806
Techniciens télécoms,informatique-telecoms,techniciens-telecoms,I1307,34200,2850,BTS/DUT (Bac+2),,38000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/I1307
Traducteurs-interprètes,communication-media,traducteurs-interpretes,E1108,27000,2250,Master (Bac+5),,14000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/E1108
Photographes,communication-media,photographes,E1201,28800,2400,Baccalauréat,,34000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/E1201
Techniciens audiovisuels,arts-spectacle,techniciens-audiovisuels,L1505,28800,2400,BTS/DUT (Bac+2),,18000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/L1505
Comédiens,arts-spectacle,comediens,L1203,23400,1950,Licence (Bac+3),,65000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/L1203
Musiciens,arts-spectacle,musiciens,L1202,21360,1780,Licence (Bac+3),,22000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/L1202
Agents de voyage,hotellerie-restauration,agents-voyage,G1303,29040,2420,BTS/DUT (Bac+2),,148000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/G1303
Réceptionnistes d'hôtel,hotellerie-restauration,receptionnistes-hotel,G1703,22080,1840,Baccalauréat,,62000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/G1703
Guides touristiques,hotellerie-restauration,guides-touristiques,G1201,,,Licence (Bac+3),,,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/G1201
Chefs de cuisine,hotellerie-restauration,chefs-cuisine,G1601,21360,1780,CAP/BEP,,218000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/G1601
Experts-comptables,support-entreprise,experts-comptables,M1202,31800,2650,Master (Bac+5),,128000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1202
Auditeurs financiers,support-entreprise,auditeurs-financiers,M1202,44160,3680,Master (Bac+5),,22000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1202
Opticiens-lunetiers,sante,opticiens-lunetiers,J1405,46200,3850,BTS/DUT (Bac+2),,74000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1405
Vétérinaires,agriculture-peche,veterinaires,A1504,38400,3200,Doctorat (Bac+8),,20000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1504
Ingénieurs agronomes,agriculture-peche,ingenieurs-agronomes,A1303,21840,1820,Master (Bac+5),,165000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1303
Ouvriers viticoles,agriculture-peche,ouvriers-viticoles,A1405,19800,1650,CAP/BEP,,52000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1405
Chercheurs,enseignement-formation,chercheurs,K2402,40800,3400,Doctorat (Bac+8),,93000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K2402
Formateurs,enseignement-formation,formateurs,K2111,35400,2950,Licence (Bac+3),,95000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K2111
Bibliothécaires,enseignement-formation,bibliothecaires,K1601,38400,3200,Licence (Bac+3),,12000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1601
Préparateurs en pharmacie,sante,preparateurs-pharmacie,J1307,46200,3850,BTS/DUT (Bac+2),,74000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1307
Ambulanciers,sante,ambulanciers,J1305,,,CAP/BEP,,,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1305
Manipulateurs en radiologie,sante,manipulateurs-radiologie,J1306,79800,6650,Licence (Bac+3),,13500,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1306
Techniciens de laboratoire médical,sante,techniciens-labo-medical,J1302,46200,3850,BTS/DUT (Bac+2),,74000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1302
Agents de propreté urbaine,services-collectivite,agents-proprete-urbaine,K2303,,,Sans diplôme,,,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K2303
Conducteurs de bus,transport-logistique,conducteurs-bus,N4103,39360,3280,CAP/BEP,,52000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/N4103
Conducteurs de train,transport-logistique,conducteurs-train,N4301,39360,3280,Baccalauréat,,52000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/N4301
Pilotes d'avion,transport-logistique,pilotes-avion,N2101,86400,7200,Licence (Bac+3),,14000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/N2101
Mécaniciens aéronautiques,industrie,mecaniciens-aeronautiques,I1602,24000,2000,Baccalauréat,,120000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/I1602
Ingénieurs en énergie,industrie,ingenieurs-energie,H1206,42960,3580,Master (Bac+5),,48000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/H1206
Techniciens en énergie renouvelable,industrie,techniciens-energie-renouvelable,I1306,34200,2850,BTS/DUT (Bac+2),,38000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/I1306
Agents d'accueil,support-entreprise,agents-accueil,M1601,22080,1840,Baccalauréat,,62000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1601
Opérateurs de saisie,support-entreprise,operateurs-saisie,M1606,38400,3200,Baccalauréat,,12000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1606
Gestionnaires de paie,support-entreprise,gestionnaires-paie,M1501,33600,2800,BTS/DUT (Bac+2),,82000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1501
Juristes d'entreprise,droit-justice,juristes-entreprise,K1903,45600,3800,Master (Bac+5),,65000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1903
Huissiers de justice,droit-justice,huissiers-justice,K1902,50400,4200,Master (Bac+5),,3800,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1902
Greffiers,droit-justice,greffiers,K1904,27600,2300,Licence (Bac+3),,24000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1904
Ingénieurs BTP,construction-btp,ingenieurs-btp,F1106,39360,3280,Master (Bac+5),,52000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1106
Urbanistes,services-collectivite,urbanistes,K1404,41400,3450,Master (Bac+5),,38000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1404
Agents des impôts,services-collectivite,agents-impots,K1501,,,Licence (Bac+3),,,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1501
Attachés territoriaux,services-collectivite,attaches-territoriaux,K1401,,,Licence (Bac+3),,,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1401
Ingénieurs environnement,industrie,ingenieurs-environnement,H1302,42960,3580,Master (Bac+5),,48000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/H1302
Techniciens en traitement des eaux,services-collectivite,techniciens-traitement-eaux,K2306,26160,2180,BTS/DUT (Bac+2),,92000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K2306
Conseillers en insertion professionnelle,social,conseillers-insertion,K1801,30000,2500,Licence (Bac+3),,11000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1801
Moniteurs-éducateurs,social,moniteurs-educateurs,K1208,24600,2050,Baccalauréat,,105000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K1208
Éleveurs,agriculture-peche,eleveurs,A1410,21000,1750,Baccalauréat,,98000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1410
Pêcheurs,agriculture-peche,pecheurs,A1416,,,CAP/BEP,,,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/A1416
Conducteurs d'engins de chantier,construction-btp,conducteurs-engins-chantier,F1302,,,CAP/BEP,,,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1302
Carreleurs,construction-btp,carreleurs,F1608,23760,1980,CAP/BEP,,128000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1608
Gestionnaires de patrimoine,banque-assurance-immobilier,gestionnaires-patrimoine,C1205,50400,4200,Master (Bac+5),,32000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/C1205
Traders,banque-assurance-immobilier,traders,C1301,48960,4080,Master (Bac+5),,38000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/C1301
Analystes financiers,banque-assurance-immobilier,analystes-financiers,C1202,48960,4080,Master (Bac+5),,38000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/C1202
Moniteurs de sport,sport-loisirs,moniteurs-sport,G1204,28800,2400,Baccalauréat,,18000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/G1204
Entraîneurs sportifs,sport-loisirs,entraineurs-sportifs,G1204,,,Licence (Bac+3),,,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/G1204
Diététiciens,sante,dieteticiens,J1403,46200,3850,BTS/DUT (Bac+2),,74000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1403
Orthophonistes,sante,orthophonistes,J1406,33600,2800,Master (Bac+5),,105000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1406
Ergothérapeutes,sante,ergotherapeutes,J1403,33600,2800,Licence (Bac+3),,105000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1403
Opérateurs en centre d'appels,commerce-vente,operateurs-centre-appels,D1408,,,Baccalauréat,,,,-5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/D1408
Webmasters,informatique-telecoms,webmasters,E1101,27720,2310,Licence (Bac+3),,42000,,-5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/E1101
Chefs de produit,commerce-vente,chefs-produit,M1703,37800,3150,Master (Bac+5),,28000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1703
Logisticiens,transport-logistique,logisticiens,N1301,31800,2650,BTS/DUT (Bac+2),,92000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/N1301
Déclarants en douane,transport-logistique,declarants-douane,N1202,31800,2650,BTS/DUT (Bac+2),,92000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/N1202
Techniciens frigoristes,industrie,techniciens-frigoristes,I1306,26160,2180,CAP/BEP,,92000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/I1306
Chaudronniers,industrie,chaudronniers,H2902,26160,2180,CAP/BEP,,82000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/H2902
Usineurs,industrie,usineurs,H2903,30000,2500,CAP/BEP,,195000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/H2903
Conducteurs de ligne de production,industrie,conducteurs-ligne-production,H2301,30000,2500,CAP/BEP,,195000,,1,,,https://candidat.francetravail.fr/metierscope/fiche-metier/H2301
