isco08_code,occupation_title,task_score,task_exposure,task_description
1324,"Supply, distribution and related managers",0.4575,Low,"Overseeing the recording of purchase, storage and distribution transactions;"
1324,"Supply, distribution and related managers",0.385,Low,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1324,"Supply, distribution and related managers",0.37,Low,Establishing and directing operational and administrative procedures;
1324,"Supply, distribution and related managers",0.325,Low,Planning and directing daily operations;
1324,"Supply, distribution and related managers",0.3175,Low,"Overseeing the selection, training and performance of staff."
1330,Information and communications technology service managers,0.435,Low,"Consulting with users, management, vendors, and technicians to assess computing needs and system requirements and specifying technology to meet those needs;"
1330,Information and communications technology service managers,0.4375,Low,"Formulating and directing information and communication technology (ICT) strategies, policies and plans;"
1330,Information and communications technology service managers,0.465,Low,Directing the selection and installation of ICT resources and the provision of user training;
1330,Information and communications technology service managers,0.505,Medium,"Directing ICT operations, analysing workflow, establishing priorities, developing standards and setting deadlines;"
1330,Information and communications technology service managers,0.51,Medium,Overseeing the security of ICT systems;
1330,Information and communications technology service managers,0.35,Low,"Assigning, reviewing, managing and leading the work of systems analysts, programmers, and other computer-related workers;"
1330,Information and communications technology service managers,0.56,Medium,Evaluating the organization's technology use and needs and recommending improvements such as hardware and software upgrades;
1330,Information and communications technology service managers,0.435,Low,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1330,Information and communications technology service managers,0.44,Low,Establishing and directing operational and administrative procedures;
1330,Information and communications technology service managers,0.31,Low,"Overseeing the selection, training and performance of staff;"
1330,Information and communications technology service managers,0.395,Low,"Representing the enterprise or organization at ICT related conventions, seminars and conferences."
1341,Child care services managers,0.165,Very Low,"Developing and implementing programmes to enhance the physical, social, emotional and intellectual development of young children;"
1341,Child care services managers,0.4175,Low,"Establishing and monitoring budgets and determining allocation of funds for staff, supplies, materials, equipment and maintenance;"
1341,Child care services managers,0.19,Very Low,"Overseeing and coordinating the provision care for children in before-school, after-school, day, and vacation care centres;"
1341,Child care services managers,0.185,Very Low,Directing and supervising child carers in providing care and supervision for young children;
1341,Child care services managers,0.235,Very Low,"Managing physical facilities and making sure all buildings and equipment are maintained to ensure the centre is a safe area for children, staff and visitors;"
1341,Child care services managers,0.37,Low,"Reviewing and interpreting government codes, and developing procedures to meet codes (e.g., concerning safety and security);"
1341,Child care services managers,0.185,Very Low,Monitoring children’s progress and conferring with parents or guardians;
1341,Child care services managers,0.615,Medium,Preparing and maintaining records and accounts for a child care centre;
1341,Child care services managers,0.3325,Low,Recruiting and evaluating staff and coordinating their professional development.
1342,Health services managers,0.355,Low,"Providing overall direction and management for the service, facility, organization or centre;"
1342,Health services managers,0.34,Low,"Directing, supervising and evaluating the work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel;"
1342,Health services managers,0.385,Low,Establishing objectives and evaluative or operational criteria for units they manage;
1342,Health services managers,0.32,Low,"Directing or conducting recruitment, hiring and training of personnel;"
1342,Health services managers,0.35,Low,"Developing, implementing and monitoring procedures, policies and performance standards for medical, nursing, technical and administrative staff;"
1342,Health services managers,0.34,Low,"Monitoring the use of diagnostic services, inpatient beds, facilities and staff to ensure effective use of resources, and assess the need for additional staff, equipment, and services;"
1342,Health services managers,0.485,Low,"Controlling administrative operations such as budget planning, report preparation and expenditure on supplies, equipment and services;"
1342,Health services managers,0.415,Low,"Liaising with other health and welfare service providers, boards and funding bodies to coordinate the provision of services;"
1342,Health services managers,0.35,Low,Advising government bodies about measures to improve health and welfare services and facilities;
1342,Health services managers,0.29,Low,"Representing the organization in negotiations, and at conventions, seminars, public hearings and forums."
1343,Aged care services managers,0.35,Low,"Providing overall direction and management for a service, facility, organization or centre;"
1343,Aged care services managers,0.3025,Low,"Directing, supervising and evaluating the work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel;"
1343,Aged care services managers,0.365,Low,Establishing objectives and evaluative or operational criteria for units they manage;
1343,Aged care services managers,0.31,Low,"Directing or conducting recruitment, hiring and training of personnel;"
1343,Aged care services managers,0.32,Low,"Developing, implementing and monitoring procedures, policies and performance standards for nursing, personal care, technical and administrative staff;"
1343,Aged care services managers,0.155,Very Low,Coordinating and administering welfare programmes and care services for the elderly;
1343,Aged care services managers,0.535,Medium,"Controlling administrative operations such as budget planning, report preparation, and expenditure on supplies, equipment and services;"
1343,Aged care services managers,0.365,Low,"Liaising with other health and welfare providers, boards and funding bodies to coordinate the provision of services;"
1343,Aged care services managers,0.385,Low,Advising government bodies about measures to improve health and welfare services and facilities;
1343,Aged care services managers,0.35,Low,"Representing the organization in negotiations, and at conventions, seminars, public hearings and forums."
1344,Social welfare managers,0.355,Low,"Providing overall direction and management for a service, facility, organization or centre;"
1344,Social welfare managers,0.3675,Low,"Developing, implementing and monitoring procedures, policies and standards for staff;"
1344,Social welfare managers,0.38,Low,"Monitoring and evaluating resources devoted to the provision of welfare, housing, and other social services;"
1344,Social welfare managers,0.535,Medium,"Controlling administrative operations such as budget planning, report preparation, and expenditure on supplies, equipment and services;"
1344,Social welfare managers,0.295,Low,"Liaising with other welfare and health services providers, boards and funding bodies to discuss areas of health and welfare service cooperation and coordination;"
1344,Social welfare managers,0.39,Low,Advising government bodies about measures to improve welfare services and facilities;
1344,Social welfare managers,0.335,Low,"Representing the organization in negotiations, and at conventions, seminars, public hearings and forums;"
1344,Social welfare managers,0.36,Low,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1344,Social welfare managers,0.36,Low,Establishing and directing operational and administrative procedures;
1344,Social welfare managers,0.315,Low,"Overseeing the selection, training and performance of staff."
1345,Education managers,0.41,Low,Determining educational programmes based on frameworks established by education authorities and governing bodies;
1345,Education managers,0.435,Low,Implementing systems and procedures to monitor school performance and student enrolments;
1345,Education managers,0.4,Low,Directing administrative and clerical activities concerning student admissions and educational services;
1345,Education managers,0.565,Medium,"Controlling administrative operations such as budget planning, report preparation, and expenditure on supplies, equipment and services;"
1345,Education managers,0.305,Low,"Providing leadership and guidance to teaching, academic and administrative staff as well as to students;"
1345,Education managers,0.2625,Low,"Evaluating the work of teachers and lecturers by visiting classrooms, observing teaching methods, reviewing instructional objectives and examining learning materials;"
1345,Education managers,0.475,Low,"Promoting the educational programme, and representing the service or institution in the wider community;"
1345,Education managers,0.2575,Low,Supervising the maintenance of educational facilities;
1345,Education managers,0.26,Low,Developing and enforcing a disciplinary code to create a safe and conducive environment for students and teachers;
1345,Education managers,0.3175,Low,Organizing and implementing methods of raising additional funds in conjunction with parent and community groups and sponsors;
1345,Education managers,0.305,Low,"Controlling selection, training and supervision of staff."
1346,Financial and insurance services branch managers,0.365,Low,"Planning, directing and coordinating the activities of staff in the branch;"
1346,Financial and insurance services branch managers,0.29,Low,Establishing and maintaining relationships with individual and business customers;
1346,Financial and insurance services branch managers,0.605,Medium,Providing advice and assistance to customers on their financial and insurance needs and with matters such as changes in law that may affect customers;
1346,Financial and insurance services branch managers,0.635,Medium,"Examining, evaluating and processing loan and insurance applications;"
1346,Financial and insurance services branch managers,0.55,Medium,Monitoring credit extension decisions;
1346,Financial and insurance services branch managers,0.545,Medium,Conducting financial investigations;
1346,Financial and insurance services branch managers,0.53,Medium,"Overseeing the flow of cash and financial instruments, and the preparation of financial and regulatory reports;"
1346,Financial and insurance services branch managers,0.565,Medium,"Approving or rejecting, or coordinating the approval or rejection of, lines of credit commercial, real estate and personal loans;"
1346,Financial and insurance services branch managers,0.39,Low,Coordinating cooperation with other branches of the company;
1346,Financial and insurance services branch managers,0.385,Low,"Managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1346,Financial and insurance services branch managers,0.3025,Low,"Overseeing the selection, training and performance of staff."
1349,Professional services managers not elsewhere classified,0.345,Low,"Providing overall direction and management for a service, facility, organization or centre;"
1349,Professional services managers not elsewhere classified,0.355,Low,"Developing, implementing and monitoring procedures, policies and standards for staff;"
1349,Professional services managers not elsewhere classified,0.365,Low,"Directing, supervising and evaluating the work activities of professional technical, clerical, service, maintenance, and other personnel;"
1349,Professional services managers not elsewhere classified,0.41,Low,Monitoring and evaluating resources devoted to the provision of services;
1349,Professional services managers not elsewhere classified,0.555,Medium,"Controlling administrative operations such as budget planning, report preparation, and expenditure on supplies, equipment and services;"
1349,Professional services managers not elsewhere classified,0.435,Low,"Planning, directing and coordinating the provision of services;"
1349,Professional services managers not elsewhere classified,0.3325,Low,Coordinating cooperation with other service provision agencies in the same or related fields;
1349,Professional services managers not elsewhere classified,0.335,Low,"Managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1349,Professional services managers not elsewhere classified,0.32,Low,"Overseeing the selection, training and performance of staff."
1411,Hotel managers,0.365,Low,"Directing and overseeing reservation, reception, room service and housekeeping activities;"
1411,Hotel managers,0.2075,Very Low,Supervising security arrangements and garden and property maintenance;
1411,Hotel managers,0.32,Low,"Planning and supervising bar, restaurant, function and conference activities;"
1411,Hotel managers,0.3725,Low,"Observing liquor, gaming, and other laws and regulations;"
1411,Hotel managers,0.5,Medium,Assessing and reviewing customer satisfaction;
1411,Hotel managers,0.44,Low,Overseeing accounting and purchasing activities;
1411,Hotel managers,0.44,Low,Undertaking budgeting for the establishment;
1411,Hotel managers,0.28,Low,"Controlling selection, training and supervision of staff;"
1411,Hotel managers,0.205,Very Low,Ensuring compliance with occupational health and safety regulations;
1411,Hotel managers,0.6,Medium,"Providing guests with local tourism information, and arranging tours and transportation."
1412,Restaurant managers,0.4375,Low,Planning menus in consultation with chefs and cooks;
1412,Restaurant managers,0.3525,Low,Planning and organizing special functions;
1412,Restaurant managers,0.485,Low,Arranging the purchasing and pricing of goods according to budget;
1412,Restaurant managers,0.595,Medium,Maintaining records of stock levels and financial transactions;
1412,Restaurant managers,0.2325,Very Low,"Ensuring dining, kitchen and food storage facilities comply with health regulations and are clean, functional and of suitable appearance;"
1412,Restaurant managers,0.35,Low,Conferring with customers to assess their satisfaction with meals and service;
1412,Restaurant managers,0.275,Low,"Selecting, set staff work schedules, training and supervising waiting and kitchen staff;"
1412,Restaurant managers,0.38,Low,"Taking reservations, greeting guests and assisting in taking orders;"
1412,Restaurant managers,0.2575,Low,Negotiating arrangements with clients and suppliers;
1412,Restaurant managers,0.265,Low,Ensuring compliance with occupational health and safety regulations.
1420,Retail and wholesale trade managers,0.356,Low,"Determining product mix, stock levels and service standards;"
1420,Retail and wholesale trade managers,0.435,Low,"Formulating and implementing purchasing and marketing policies, and setting prices;"
1420,Retail and wholesale trade managers,0.635,Medium,Promoting and advertising the establishment’s goods and services;
