SOC Code,Occupation Title,Language Modeling AIOE
25-1022,"Mathematical Science Teachers, Postsecondary",1.406917
25-1031,"Architecture Teachers, Postsecondary",1.246342
25-1032,"Engineering Teachers, Postsecondary",1.337249
25-1041,"Agricultural Sciences Teachers, Postsecondary",1.15419
25-1042,"Biological Science Teachers, Postsecondary",1.492517
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1.562946
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.521884
25-1052,"Chemistry Teachers, Postsecondary",1.449933
25-1053,"Environmental Science Teachers, Postsecondary",1.603297
25-1054,"Physics Teachers, Postsecondary",1.240154
25-1061,"Anthropology and Archeology Teachers, Postsecondary",1.534275
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.66876
25-1063,"Economics Teachers, Postsecondary",1.46189
25-1064,"Geography Teachers, Postsecondary",1.628536
25-1065,"Political Science Teachers, Postsecondary",1.769565
25-1066,"Psychology Teachers, Postsecondary",1.716472
25-1067,"Sociology Teachers, Postsecondary",1.770457
25-1071,"Health Specialties Teachers, Postsecondary",1.225631
25-1072,"Nursing Instructors and Teachers, Postsecondary",0.74384
25-1081,"Education Teachers, Postsecondary",1.623696
25-1082,"Library Science Teachers, Postsecondary",1.626376
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1.754122
25-1112,"Law Teachers, Postsecondary",1.801888
25-1113,"Social Work Teachers, Postsecondary",1.738791
25-1121,"Art, Drama, and Music Teachers, Postsecondary",1.007435
25-1122,"Communications Teachers, Postsecondary",1.70167
25-1123,"English Language and Literature Teachers, Postsecondary",1.85686
25-1124,"Foreign Language and Literature Teachers, Postsecondary",1.813892
25-1125,"History Teachers, Postsecondary",1.813362
25-1126,"Philosophy and Religion Teachers, Postsecondary",1.799875
25-1191,Graduate Teaching Assistants,1.376487
25-1192,"Home Economics Teachers, Postsecondary",1.467661
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",1.429312
25-1194,"Vocational Education Teachers, Postsecondary",0.3901885
25-2011,"Preschool Teachers, Except Special Education",0.3222551
25-2012,"Kindergarten Teachers, Except Special Education",0.6531022
25-2021,"Elementary School Teachers, Except Special Education",1.016625
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1.284328
25-2023,"Career/Technical Education Teachers, Middle School",0.6469598
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1.248528
25-2032,"Career/Technical Education Teachers, Secondary School",0.4222647
25-2051,"Special Education Teachers, Preschool",0.6546578
25-2052,"Special Education Teachers, Kindergarten and Elementary School",0.9371846
25-2053,"Special Education Teachers, Middle School",1.334401
25-2054,"Special Education Teachers, Secondary School",0.9999323
25-2059,"Special Education Teachers, All Other",-0.2361226
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1.440082
25-3021,Self-Enrichment Education Teachers,0.824783
25-3099,"Teachers and Instructors, All Other",1.486138
25-4011,Archivists,0.6928958
25-4012,Curators,0.6558576
25-4013,Museum Technicians and Conservators,-0.1107287
25-4021,Librarians,0.9777895
25-4031,Library Technicians,0.1795232
25-9011,Audio-Visual and Multimedia Collections Specialists,0.272109
25-9021,Farm and Home Management Advisors,0.7838627
25-9031,Instructional Coordinators,1.32382
25-9041,Teacher Assistants,0.7475703
27-1011,Art Directors,0.727281
27-1012,Craft Artists,-0.9173622
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655
27-1014,Multimedia Artists and Animators,0.4317718
27-1021,Commercial and Industrial Designers,0.5598583
27-1022,Fashion Designers,0.5077618
27-1023,Floral Designers,-0.2188882
27-1024,Graphic Designers,0.5274013
27-1025,Interior Designers,0.8219336
27-1026,Merchandise Displayers and Window Trimmers,-0.7348464
27-1027,Set and Exhibit Designers,-0.1602642
27-2011,Actors,0.5784018
27-2012,Producers and Directors,0.8597838
27-2021,Athletes and Sports Competitors,-1.290383
27-2022,Coaches and Scouts,0.3188508
27-2023,"Umpires, Referees, and Other Sports Officials",-0.1454976
27-2031,Dancers,-1.79308
27-2032,Choreographers,-0.8860701
27-2041,Music Directors and Composers,1.03168
27-2042,Musicians and Singers,0.2904993
27-3011,Radio and Television Announcers,1.123739
27-3012,Public Address System and Other Announcers,0.7731112
27-3021,Broadcast News Analysts,1.229622
27-3022,Reporters and Correspondents,1.47074
27-3031,Public Relations Specialists,1.517637
27-3041,Editors,1.190631
27-3042,Technical Writers,1.316551
27-3043,Writers and Authors,1.170131
27-3091,Interpreters and Translators,1.351959
27-4011,Audio and Video Equipment Technicians,-0.120451
27-4012,Broadcast Technicians,-0.1105672
27-4013,Radio Operators,0.9408438
27-4014,Sound Engineering Technicians,0.3384944
27-4021,Photographers,-0.3821391
27-4031,"Camera Operators, Television, Video, and Motion Picture",-0.6289793
27-4032,Film and Video Editors,0.6566918
29-1011,Chiropractors,0.0516267
29-1021,"Dentists, General",-0.3476516
29-1022,Oral and Maxillofacial Surgeons,-0.3302738
29-1023,Orthodontists,0.0205331
29-1024,Prosthodontists,-0.2144845
29-1031,Dietitians and Nutritionists,1.363892
29-1041,Optometrists,0.2003319
29-1051,Pharmacists,0.5705959
29-1061,Anesthesiologists,0.211804
29-1062,Family and General Practitioners,1.115116
29-1063,"Internists, General",1.001316
29-1064,Obstetricians and Gynecologists,0.3644282
29-1065,"Pediatricians, General",1.146142
29-1066,Psychiatrists,1.365892
29-1067,Surgeons,-0.145476
29-1069,"Physicians and Surgeons, All Other",0.6186871
29-1071,Physician Assistants,0.0402409
29-1081,Podiatrists,0.5537257
29-1122,Occupational Therapists,0.2657048
29-1123,Physical Therapists,-0.0588146
29-1124,Radiation Therapists,-0.3161771
29-1125,Recreational Therapists,0.4009678
29-1126,Respiratory Therapists,-0.1994213
29-1127,Speech-Language Pathologists,1.343344
29-1128,Exercise Physiologists,0.3066196
29-1131,Veterinarians,-0.0842553
29-1141,Registered Nurses,0.2723904
29-1151,Nurse Anesthetists,0.1344116
29-1161,Nurse Midwives,0.3052241
29-1171,Nurse Practitioners,0.3016596
29-1181,Audiologists,0.6955392
29-1199,"Health Diagnosing and Treating Practitioners, All Other",0.6788277
29-2011,Medical and Clinical Laboratory Technologists,-0.042349
29-2012,Medical and Clinical Laboratory Technicians,-0.2827884
29-2021,Dental Hygienists,-0.3524675
29-2031,Cardiovascular Technologists and Technicians,-0.131293
29-2032,Diagnostic Medical Sonographers,-0.2743202
29-2033,Nuclear Medicine Technologists,-0.0226015
29-2034,Radiologic Technologists,-0.4048342
29-2035,Magnetic Resonance Imaging Technologists,-0.1366283
29-2041,Emergency Medical Technicians and Paramedics,-0.6994473
29-2051,Dietetic Technicians,-0.1277389
29-2052,Pharmacy Technicians,-0.0233856
29-2053,Psychiatric Technicians,-0.0011
29-2054,Respiratory Therapy Technicians,-0.0883059
29-2055,Surgical Technologists,-0.5417635
29-2056,Veterinary Technologists and Technicians,-0.2819632
29-2057,Ophthalmic Medical Technicians,0.0829021
29-2061,Licensed Practical and Licensed Vocational Nurses,-0.2979922
29-2071,Medical Records and Health Information Technicians,0.5524089
29-2081,"Opticians, Dispensing",0.0285751
29-2091,Orthotists and Prosthetists,0.1256412
29-2092,Hearing Aid Specialists,0.4584805
29-2099,"Health Technologists and Technicians, All Other",-0.2805267
29-9011,Occupational Health and Safety Specialists,0.5978742
29-9012,Occupational Health and Safety Technicians,0.3289637
29-9091,Athletic Trainers,-0.0953968
29-9092,Genetic Counselors,1.477603
29-9099,"Healthcare Practitioners and Technical Workers, All Other",0.2785947
31-1011,Home Health Aides,-0.404814
31-1013,Psychiatric Aides,-0.2746419
31-1014,Nursing Assistants,-0.5148466
31-1015,Orderlies,-1.08762
31-2011,Occupational Therapy Assistants,-0.0745205
31-2012,Occupational Therapy Aides,-0.3573223
31-2021,Physical Therapist Assistants,-0.2472779
31-2022,Physical Therapist Aides,-0.6148192
31-9011,Massage Therapists,-0.6818891
31-9091,Dental Assistants,-0.3458537
31-9092,Medical Assistants,0.2356488
31-9093,Medical Equipment Preparers,-0.7762876
31-9094,Medical Transcriptionists,1.196181
31-9095,Pharmacy Aides,-0.0284926
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,-0.5899488
31-9097,Phlebotomists,-0.2526035
31-9099,"Healthcare Support Workers, All Other",0.2520649
33-1011,First-Line Supervisors of Correctional Officers,-0.3614321
33-1012,First-Line Supervisors of Police and Detectives,-0.1961966
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,-0.636405
33-2011,Firefighters,-1.287125
33-2021,Fire Inspectors and Investigators,-0.1516908
33-2022,Forest Fire Inspectors and Prevention Specialists,-0.3418539
33-3011,Bailiffs,-0.1705261
33-3012,Correctional Officers and Jailers,-0.6690897
33-3021,Detectives and Criminal Investigators,0.1511265
33-3031,Fish and Game Wardens,-0.5055484
33-3041,Parking Enforcement Workers,-0.6273561
33-3051,Police and Sheriff's Patrol Officers,-0.6402014
33-3052,Transit and Railroad Police,-0.7447406
33-9011,Animal Control Workers,-0.3902585
33-9021,Private Detectives and Investigators,0.6147625
33-9031,Gaming Surveillance Officers and Gaming Investigators,0.4327424
33-9032,Security Guards,-0.4228095
33-9091,Crossing Guards,-0.3971661
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",-0.3161409
33-9093,Transportation Security Screeners,-0.5229555
33-9099,"Protective Service Workers, All Other",-0.017191
35-1011,Chefs and Head Cooks,-0.1720309
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,-0.1501443
35-2011,"Cooks, Fast Food",-0.3906226
35-2012,"Cooks, Institution and Cafeteria",-0.5586923
35-2013,"Cooks, Private Household",-0.6394508
35-2014,"Cooks, Restaurant",-0.7585588
35-2015,"Cooks, Short Order",-0.5674362
35-2021,Food Preparation Workers,-0.9339887
35-3011,Bartenders,-0.4109996
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",-0.3083948
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",-0.3211086
35-3031,Waiters and Waitresses,-0.4693402
35-3041,"Food Servers, Nonrestaurant",-0.4450331
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,-1.432733
35-9021,Dishwashers,-1.561163
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.1821651
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,-0.3668852
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",-0.4855586
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-1.093042
37-2012,Maids and Housekeeping Cleaners,-1.030813
37-2021,Pest Control Workers,-0.7243282
37-3011,Landscaping and Groundskeeping Workers,-1.656454
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",-0.9335945
37-3013,Tree Trimmers and Pruners,-1.580793
39-1011,Gaming Supervisors,1.015314
39-1012,Slot Supervisors,0.0270202
39-1021,First-Line Supervisors of Personal Service Workers,0.6279178
39-2011,Animal Trainers,-0.7293655
39-2021,Nonfarm Animal Caretakers,-0.5279816
39-3011,Gaming Dealers,0.0302909
39-3012,Gaming and Sports Book Writers and Runners,0.365378
39-3021,Motion Picture Projectionists,-0.6494384
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",-0.1112865
39-3091,Amusement and Recreation Attendants,-0.2293367
39-3092,Costume Attendants,-0.2958649
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",0.2794888
39-4011,Embalmers,-0.6571462
39-4021,Funeral Attendants,-0.1577413
39-4031,"Morticians, Undertakers, and Funeral Directors",-0.1143887
39-5011,Barbers,-0.5433185
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",-0.6155546
39-5091,"Makeup Artists, Theatrical and Performance",-0.4973671
39-5092,Manicurists and Pedicurists,-0.0792243
39-5093,Shampooers,-0.5005988
39-5094,Skincare Specialists,-0.0372525
39-6011,Baggage Porters and Bellhops,-0.9139996
39-6012,Concierges,1.070776
39-7011,Tour Guides and Escorts,0.7355828
39-7012,Travel Guides,0.552707
39-9011,Childcare Workers,-0.1674963
39-9021,Personal Care Aides,-0.2060442
39-9031,Fitness Trainers and Aerobics Instructors,-1.2572
39-9032,Recreation Workers,0.0970085
39-9041,Residential Advisors,0.7105829
41-1011,First-Line Supervisors of Retail Sales Workers,0.2011382
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1.258639
41-2011,Cashiers,-0.1074713
41-2012,Gaming Change Persons and Booth Cashiers,-0.1038614
41-2021,Counter and Rental Clerks,0.1427099
41-2022,Parts Salespersons,-0.0136432
41-2031,Retail Salespersons,0.3573965
41-3011,Advertising Sales Agents,1.122101
41-3021,Insurance Sales Agents,1.426945
41-3031,"Securities, Commodities, and Financial Services Sales Agents",1.2599
41-3041,Travel Agents,1.278436
41-3099,"Sales Representatives, Services, All Other",1.24178
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.9530722
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.039019
41-9011,Demonstrators and Product Promoters,0.334189
41-9012,Models,-0.5034364
41-9021,Real Estate Brokers,1.348025
41-9022,Real Estate Sales Agents,0.7012568
41-9031,Sales Engineers,1.025903
41-9041,Telemarketers,1.925633
41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1.511458
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1.134282
43-2011,"Switchboard Operators, Including Answering Service",1.244421
43-2021,Telephone Operators,1.411687
43-3011,Bill and Account Collectors,1.270176
43-3021,Billing and Posting Clerks,1.135705
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",0.8181121
43-3041,Gaming Cage Workers,0.4955334
43-3051,Payroll and Timekeeping Clerks,1.155485
43-3061,Procurement Clerks,1.589915
43-3071,Tellers,0.4310685
43-4011,Brokerage Clerks,1.026384
43-4021,Correspondence Clerks,1.184181
43-4031,"Court, Municipal, and License Clerks",1.3362
43-4041,"Credit Authorizers, Checkers, and Clerks",1.54555
43-4051,Customer Service Representatives,1.075894
43-4061,"Eligibility Interviewers, Government Programs",1.416653
43-4071,File Clerks,0.2403003
43-4081,"Hotel, Motel, and Resort Desk Clerks",0.7106003
43-4111,"Interviewers, Except Eligibility and Loan",1.44861
43-4121,"Library Assistants, Clerical",0.2762258
43-4131,Loan Interviewers and Clerks,1.274213
43-4141,New Accounts Clerks,1.200969
43-4151,Order Clerks,0.761112
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",1.480714
43-4171,Receptionists and Information Clerks,1.032934
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,0.4228141
43-5011,Cargo and Freight Agents,1.254537
43-5021,Couriers and Messengers,-0.92241
43-5031,"Police, Fire, and Ambulance Dispatchers",0.7743953
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",1.128045
43-5041,"Meter Readers, Utilities",-1.027005
43-5051,Postal Service Clerks,-0.283523
43-5052,Postal Service Mail Carriers,-0.9672173
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",-1.007248
43-5061,"Production, Planning, and Expediting Clerks",0.6614221
43-5071,"Shipping, Receiving, and Traffic Clerks",-0.7375154
43-5081,Stock Clerks and Order Fillers,-0.5232333
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",-0.3528867
43-6011,Executive Secretaries and Executive Administrative Assistants,1.106018
43-6012,Legal Secretaries,1.149438
43-6013,Medical Secretaries,1.2978
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.254248
43-9011,Computer Operators,0.4078978
43-9021,Data Entry Keyers,0.1723307
43-9022,Word Processors and Typists,0.5072381
43-9031,Desktop Publishers,-0.0650455
43-9041,Insurance Claims and Policy Processing Clerks,1.257163
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",-0.7109466
43-9061,"Office Clerks, General",0.9108539
43-9071,"Office Machine Operators, Except Computer",-0.5773576
43-9081,Proofreaders and Copy Markers,1.436193
43-9111,Statistical Assistants,1.052958
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",-0.5575955
45-2011,Agricultural Inspectors,-0.0081121
45-2021,Animal Breeders,-0.9411108
45-2041,"Graders and Sorters, Agricultural Products",-1.03238
45-2091,Agricultural Equipment Operators,-1.239969
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",-1.43235
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",-1.088977
45-3011,Fishers and Related Fishing Workers,-1.51147
45-3021,Hunters and Trappers,-1.374077
45-4011,Forest and Conservation Workers,-0.9999521
45-4021,Fallers,-1.791424
45-4022,Logging Equipment Operators,-1.355217
45-4023,Log Graders and Scalers,-0.7029777
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,-0.3598737
47-2011,Boilermakers,-1.121584
47-2021,Brickmasons and Blockmasons,-1.606938
47-2022,Stonemasons,-1.483119
47-2031,Carpenters,-1.245253
47-2041,Carpet Installers,-1.414355
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",-1.049115
47-2043,Floor Sanders and Finishers,-1.574358
47-2044,Tile and Marble Setters,-1.196271
47-2051,Cement Masons and Concrete Finishers,-1.677608
47-2053,Terrazzo Workers and Finishers,-1.684962
47-2061,Construction Laborers,-1.404981
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",-1.303123
47-2072,Pile-Driver Operators,-1.454892
47-2073,Operating Engineers and Other Construction Equipment Operators,-1.173767
47-2081,Drywall and Ceiling Tile Installers,-1.496086
47-2082,Tapers,-1.344603
47-2111,Electricians,-0.9164291
47-2121,Glaziers,-1.267038
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",-1.509682
47-2132,"Insulation Workers, Mechanical",-1.079884
47-2141,"Painters, Construction and Maintenance",-1.380682
47-2142,Paperhangers,-1.56578
47-2151,Pipelayers,-1.18099
47-2152,"Plumbers, Pipefitters, and Steamfitters",-1.119614
47-2161,Plasterers and Stucco Masons,-1.577907
47-2171,Reinforcing Iron and Rebar Workers,-1.781242
47-2181,Roofers,-1.553439
47-2211,Sheet Metal Workers,-1.244711
47-2221,Structural Iron and Steel Workers,-1.700957
47-2231,Solar Photovoltaic Installers,-1.036982
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",-1.82175
47-3012,Helpers--Carpenters,-1.370165
47-3013,Helpers--Electricians,-1.445099
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",-1.71112
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",-1.461957
47-3016,Helpers--Roofers,-1.667881
47-4011,Construction and Building Inspectors,0.0676731
47-4021,Elevator Installers and Repairers,-0.9278526
47-4031,Fence Erectors,-1.675288
47-4041,Hazardous Materials Removal Workers,-0.7441202
47-4051,Highway Maintenance Workers,-1.281572
47-4061,Rail-Track Laying and Maintenance Equipment Operators,-1.496825
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,-1.260409
47-4091,Segmental Pavers,-0.9494181
47-4099,"Construction and Related Workers, All Other",-0.8711121
47-5011,"Derrick Operators, Oil and Gas",-1.390568
47-5012,"Rotary Drill Operators, Oil and Gas",-0.8803922
47-5013,"Service Unit Operators, Oil, Gas, and Mining",-1.068201
47-5021,"Earth Drillers, Except Oil and Gas",-0.9993442
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",-0.9547396
