SOC Code,Occupation Title,Image Generation AIOE
15-1152,Computer Network Support Specialists,1.019627
15-1199,"Computer Occupations, All Other",1.596393
15-2011,Actuaries,1.636606
15-2021,Mathematicians,1.904705
15-2031,Operations Research Analysts,1.535044
15-2041,Statisticians,1.33496
15-2091,Mathematical Technicians,0.3348509
17-1011,"Architects, Except Landscape and Naval",2.38871
17-1012,Landscape Architects,1.780483
17-1021,Cartographers and Photogrammetrists,1.698504
17-1022,Surveyors,0.7111955
17-2011,Aerospace Engineers,1.711465
17-2021,Agricultural Engineers,1.42221
17-2031,Biomedical Engineers,1.651616
17-2041,Chemical Engineers,2.256071
17-2051,Civil Engineers,1.97666
17-2061,Computer Hardware Engineers,1.560401
17-2071,Electrical Engineers,1.509961
17-2072,"Electronics Engineers, Except Computer",1.105018
17-2081,Environmental Engineers,1.889765
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1.574516
17-2112,Industrial Engineers,1.485018
17-2121,Marine Engineers and Naval Architects,1.18623
17-2131,Materials Engineers,1.577531
17-2141,Mechanical Engineers,1.627791
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1.985159
17-2161,Nuclear Engineers,1.556566
17-2171,Petroleum Engineers,1.576132
17-2199,"Engineers, All Other",1.212927
17-3011,Architectural and Civil Drafters,1.901938
17-3012,Electrical and Electronics Drafters,1.558872
17-3013,Mechanical Drafters,1.985666
17-3021,Aerospace Engineering and Operations Technicians,0.6987672
17-3022,Civil Engineering Technicians,1.676103
17-3023,Electrical and Electronic Engineering Technicians,0.9983063
17-3024,Electro-Mechanical Technicians,0.3395987
17-3025,Environmental Engineering Technicians,0.4686876
17-3026,Industrial Engineering Technicians,1.199434
17-3027,Mechanical Engineering Technicians,0.2558563
17-3029,"Engineering Technicians, Except Drafters, All Other",0.6988024
17-3031,Surveying and Mapping Technicians,0.962198
19-1011,Animal Scientists,1.120173
19-1012,Food Scientists and Technologists,1.12874
19-1013,Soil and Plant Scientists,0.8037223
19-1020,Biologists,1.012807
19-1021,Biochemists and Biophysicists,1.209346
19-1022,Microbiologists,1.220069
19-1023,Zoologists and Wildlife Biologists,0.3152029
19-1029,"Biological Scientists, All Other",1.285429
19-1031,Conservation Scientists,0.243842
19-1032,Foresters,0.2000741
19-1041,Epidemiologists,1.652554
19-1042,"Medical Scientists, Except Epidemiologists",1.327314
19-2011,Astronomers,2.128327
19-2012,Physicists,1.79089
19-2021,Atmospheric and Space Scientists,1.361813
19-2031,Chemists,0.8051209
19-2032,Materials Scientists,1.592698
19-2041,"Environmental Scientists and Specialists, Including Health",1.228774
19-2042,"Geoscientists, Except Hydrologists and Geographers",1.056944
19-2043,Hydrologists,0.8979447
19-2099,"Physical Scientists, All Other",1.583537
19-3011,Economists,1.298786
19-3022,Survey Researchers,1.286781
19-3031,"Clinical, Counseling, and School Psychologists",0.8265113
19-3032,Industrial-Organizational Psychologists,1.257209
19-3039,"Psychologists, All Other",1.297099
19-3041,Sociologists,0.5127642
19-3051,Urban and Regional Planners,1.641768
19-3091,Anthropologists and Archeologists,0.8613545
19-3092,Geographers,1.497411
19-3093,Historians,0.2597013
19-3094,Political Scientists,0.6362306
19-3099,"Social Scientists and Related Workers, All Other",1.902576
19-4011,Agricultural and Food Science Technicians,0.4328247
19-4021,Biological Technicians,0.6145548
19-4031,Chemical Technicians,0.4307853
19-4041,Geological and Petroleum Technicians,0.3835747
19-4051,Nuclear Technicians,0.5136482
19-4061,Social Science Research Assistants,1.261533
19-4091,"Environmental Science and Protection Technicians, Including Health",0.4056481
19-4092,Forensic Science Technicians,0.9275115
19-4093,Forest and Conservation Technicians,-0.1099637
19-4099,"Life, Physical, and Social Science Technicians, All Other",1.0026
21-1011,Substance Abuse and Behavioral Disorder Counselors,0.4818292
21-1012,"Educational, Guidance, School, and Vocational Counselors",0.428781
21-1013,Marriage and Family Therapists,0.8573037
21-1014,Mental Health Counselors,0.6489279
21-1015,Rehabilitation Counselors,-0.2823645
21-1021,"Child, Family, and School Social Workers",0.1975366
21-1022,Healthcare Social Workers,0.4141309
21-1023,Mental Health and Substance Abuse Social Workers,0.5553557
21-1091,Health Educators,0.0829808
21-1092,Probation Officers and Correctional Treatment Specialists,-0.4557452
21-1093,Social and Human Service Assistants,0.0715957
21-1094,Community Health Workers,-0.1673761
21-2011,Clergy,0.5839847
21-2021,"Directors, Religious Activities and Education",0.759903
23-1011,Lawyers,1.035825
23-1012,Judicial Law Clerks,0.9544917
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.554923
23-1022,"Arbitrators, Mediators, and Conciliators",0.7957938
23-1023,"Judges, Magistrate Judges, and Magistrates",0.8351227
23-2011,Paralegals and Legal Assistants,1.015922
23-2091,Court Reporters,-0.2605577
23-2093,"Title Examiners, Abstractors, and Searchers",0.6196347
25-1011,"Business Teachers, Postsecondary",0.3769864
25-1021,"Computer Science Teachers, Postsecondary",0.8789046
25-1022,"Mathematical Science Teachers, Postsecondary",0.619347
25-1031,"Architecture Teachers, Postsecondary",1.322639
25-1032,"Engineering Teachers, Postsecondary",1.163034
25-1041,"Agricultural Sciences Teachers, Postsecondary",-0.2898228
25-1042,"Biological Science Teachers, Postsecondary",0.5211323
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",0.4352758
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.5525842
25-1052,"Chemistry Teachers, Postsecondary",0.8127032
25-1053,"Environmental Science Teachers, Postsecondary",0.6195809
25-1054,"Physics Teachers, Postsecondary",0.3341306
25-1061,"Anthropology and Archeology Teachers, Postsecondary",0.7813215
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.4524237
25-1063,"Economics Teachers, Postsecondary",0.5499133
25-1064,"Geography Teachers, Postsecondary",0.5029951
25-1065,"Political Science Teachers, Postsecondary",0.3230799
25-1066,"Psychology Teachers, Postsecondary",0.306982
25-1067,"Sociology Teachers, Postsecondary",0.2546098
25-1071,"Health Specialties Teachers, Postsecondary",0.0641654
25-1072,"Nursing Instructors and Teachers, Postsecondary",-0.1245647
25-1081,"Education Teachers, Postsecondary",0.0410512
25-1082,"Library Science Teachers, Postsecondary",0.666595
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.3795778
25-1112,"Law Teachers, Postsecondary",0.2657821
25-1113,"Social Work Teachers, Postsecondary",0.3512177
25-1121,"Art, Drama, and Music Teachers, Postsecondary",0.5330274
25-1122,"Communications Teachers, Postsecondary",0.3100412
25-1123,"English Language and Literature Teachers, Postsecondary",0.3750499
25-1124,"Foreign Language and Literature Teachers, Postsecondary",-0.0822445
25-1125,"History Teachers, Postsecondary",0.4811135
25-1126,"Philosophy and Religion Teachers, Postsecondary",0.2913871
25-1191,Graduate Teaching Assistants,0.3861544
25-1192,"Home Economics Teachers, Postsecondary",0.6141432
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",0.4636288
25-1194,"Vocational Education Teachers, Postsecondary",-0.3571235
25-2011,"Preschool Teachers, Except Special Education",-0.4272635
25-2012,"Kindergarten Teachers, Except Special Education",-0.3340585
25-2021,"Elementary School Teachers, Except Special Education",0.5713763
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1.010239
25-2023,"Career/Technical Education Teachers, Middle School",0.1340808
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",0.9338028
25-2032,"Career/Technical Education Teachers, Secondary School",0.1890819
25-2051,"Special Education Teachers, Preschool",-0.3037643
25-2052,"Special Education Teachers, Kindergarten and Elementary School",-0.0519503
25-2053,"Special Education Teachers, Middle School",1.025085
25-2054,"Special Education Teachers, Secondary School",0.7589721
25-2059,"Special Education Teachers, All Other",-1.426268
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,0.8028032
25-3021,Self-Enrichment Education Teachers,-0.0407148
25-3099,"Teachers and Instructors, All Other",0.5311096
25-4011,Archivists,0.8721994
25-4012,Curators,1.287197
25-4013,Museum Technicians and Conservators,0.2281792
25-4021,Librarians,1.042678
25-4031,Library Technicians,-0.3987023
25-9011,Audio-Visual and Multimedia Collections Specialists,1.145717
25-9021,Farm and Home Management Advisors,0.9960752
25-9031,Instructional Coordinators,1.276163
25-9041,Teacher Assistants,-0.3547263
27-1011,Art Directors,2.24891
27-1012,Craft Artists,-0.2340453
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.9146529
27-1014,Multimedia Artists and Animators,1.844584
27-1021,Commercial and Industrial Designers,1.973451
27-1022,Fashion Designers,1.301089
27-1023,Floral Designers,0.4337298
27-1024,Graphic Designers,1.917304
27-1025,Interior Designers,2.420953
27-1026,Merchandise Displayers and Window Trimmers,-0.8655038
27-1027,Set and Exhibit Designers,0.7514155
27-2011,Actors,-0.4134647
27-2012,Producers and Directors,1.20628
27-2021,Athletes and Sports Competitors,-2.461248
27-2022,Coaches and Scouts,0.0731837
27-2023,"Umpires, Referees, and Other Sports Officials",0.159915
27-2031,Dancers,-3.654782
27-2032,Choreographers,-2.266936
27-2041,Music Directors and Composers,0.0180142
27-2042,Musicians and Singers,-1.082056
27-3011,Radio and Television Announcers,0.0570952
27-3012,Public Address System and Other Announcers,0.0659943
27-3021,Broadcast News Analysts,0.8734694
27-3022,Reporters and Correspondents,0.5818821
27-3031,Public Relations Specialists,0.6906517
27-3041,Editors,1.229132
27-3042,Technical Writers,1.24417
27-3043,Writers and Authors,1.170022
27-3091,Interpreters and Translators,-0.0626596
27-4011,Audio and Video Equipment Technicians,0.2231392
27-4012,Broadcast Technicians,0.5763181
27-4013,Radio Operators,0.0623294
27-4014,Sound Engineering Technicians,0.4526318
27-4021,Photographers,0.9287885
27-4031,"Camera Operators, Television, Video, and Motion Picture",0.3758053
27-4032,Film and Video Editors,1.970338
29-1011,Chiropractors,-0.7665408
29-1021,"Dentists, General",0.1001709
29-1022,Oral and Maxillofacial Surgeons,-0.0439961
29-1023,Orthodontists,0.4516238
29-1024,Prosthodontists,0.1145918
29-1031,Dietitians and Nutritionists,1.18357
29-1041,Optometrists,1.061376
29-1051,Pharmacists,0.4775843
29-1061,Anesthesiologists,-0.0883932
29-1062,Family and General Practitioners,0.4508497
29-1063,"Internists, General",0.9108477
29-1064,Obstetricians and Gynecologists,-0.0841717
29-1065,"Pediatricians, General",0.7513968
29-1066,Psychiatrists,0.8234686
29-1067,Surgeons,0.2046979
29-1069,"Physicians and Surgeons, All Other",0.8373072
29-1071,Physician Assistants,0.0540946
29-1081,Podiatrists,0.6519169
29-1122,Occupational Therapists,-0.1082611
29-1123,Physical Therapists,-0.8785169
29-1124,Radiation Therapists,-0.1146553
29-1125,Recreational Therapists,-0.2381101
29-1126,Respiratory Therapists,-0.2711617
29-1127,Speech-Language Pathologists,0.2294094
29-1128,Exercise Physiologists,-0.8104935
29-1131,Veterinarians,-0.1380501
29-1141,Registered Nurses,-0.0482808
29-1151,Nurse Anesthetists,0.2385611
29-1161,Nurse Midwives,-0.1239847
29-1171,Nurse Practitioners,-0.2782108
29-1181,Audiologists,0.0039067
29-1199,"Health Diagnosing and Treating Practitioners, All Other",0.652581
29-2011,Medical and Clinical Laboratory Technologists,0.9026269
29-2012,Medical and Clinical Laboratory Technicians,0.1304908
29-2021,Dental Hygienists,-0.6239431
29-2031,Cardiovascular Technologists and Technicians,-0.2056899
29-2032,Diagnostic Medical Sonographers,-0.2052736
29-2033,Nuclear Medicine Technologists,0.2562446
29-2034,Radiologic Technologists,-0.7953007
29-2035,Magnetic Resonance Imaging Technologists,-0.034779
29-2041,Emergency Medical Technicians and Paramedics,-0.5534687
29-2051,Dietetic Technicians,-0.1429475
29-2052,Pharmacy Technicians,-0.1433054
29-2053,Psychiatric Technicians,-0.6648577
29-2054,Respiratory Therapy Technicians,-0.2927954
29-2055,Surgical Technologists,-0.4395772
29-2056,Veterinary Technologists and Technicians,-0.6736001
29-2057,Ophthalmic Medical Technicians,-0.0545861
29-2061,Licensed Practical and Licensed Vocational Nurses,-1.110947
29-2071,Medical Records and Health Information Technicians,0.5293298
29-2081,"Opticians, Dispensing",0.2673772
29-2091,Orthotists and Prosthetists,0.1370207
29-2092,Hearing Aid Specialists,0.4181466
29-2099,"Health Technologists and Technicians, All Other",-0.349878
29-9011,Occupational Health and Safety Specialists,1.226232
29-9012,Occupational Health and Safety Technicians,0.5103973
29-9091,Athletic Trainers,-0.6848776
29-9092,Genetic Counselors,1.346768
29-9099,"Healthcare Practitioners and Technical Workers, All Other",-0.1345279
31-1011,Home Health Aides,-0.9847792
31-1013,Psychiatric Aides,-1.006333
31-1014,Nursing Assistants,-1.7509
31-1015,Orderlies,-2.769529
31-2011,Occupational Therapy Assistants,-0.7619311
31-2012,Occupational Therapy Aides,-1.602236
31-2021,Physical Therapist Assistants,-1.016285
31-2022,Physical Therapist Aides,-1.427901
31-9011,Massage Therapists,-2.683994
31-9091,Dental Assistants,-0.960739
31-9092,Medical Assistants,-0.2574331
31-9093,Medical Equipment Preparers,-0.5937915
31-9094,Medical Transcriptionists,0.062879
31-9095,Pharmacy Aides,-0.5959175
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,-1.29916
31-9097,Phlebotomists,-0.3278724
31-9099,"Healthcare Support Workers, All Other",-0.224627
33-1011,First-Line Supervisors of Correctional Officers,-0.8863705
33-1012,First-Line Supervisors of Police and Detectives,-0.1436702
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,-0.2450165
33-2011,Firefighters,-1.016914
33-2021,Fire Inspectors and Investigators,0.7939743
33-2022,Forest Fire Inspectors and Prevention Specialists,0.2808205
33-3011,Bailiffs,-1.65113
33-3012,Correctional Officers and Jailers,-1.349629
33-3021,Detectives and Criminal Investigators,0.4080757
33-3031,Fish and Game Wardens,-0.106521
33-3041,Parking Enforcement Workers,-0.4256193
33-3051,Police and Sheriff's Patrol Officers,-0.6212816
33-3052,Transit and Railroad Police,-0.6880116
33-9011,Animal Control Workers,-0.913505
33-9021,Private Detectives and Investigators,0.9329001
33-9031,Gaming Surveillance Officers and Gaming Investigators,1.110919
33-9032,Security Guards,-0.3378076
33-9091,Crossing Guards,-1.13212
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",-0.8350039
33-9093,Transportation Security Screeners,-0.5910809
33-9099,"Protective Service Workers, All Other",0.213176
35-1011,Chefs and Head Cooks,-0.4526673
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,-0.5156132
35-2011,"Cooks, Fast Food",-1.511315
35-2012,"Cooks, Institution and Cafeteria",-0.7715341
35-2013,"Cooks, Private Household",-0.7491215
35-2014,"Cooks, Restaurant",-0.5278708
35-2015,"Cooks, Short Order",-0.7271932
35-2021,Food Preparation Workers,-1.701858
35-3011,Bartenders,-1.072689
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",-1.315539
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",-0.9502332
35-3031,Waiters and Waitresses,-2.11317
35-3041,"Food Servers, Nonrestaurant",-1.325932
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,-2.709109
35-9021,Dishwashers,-1.787455
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",-0.9270184
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,-0.9832754
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",-0.4612343
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-1.751452
37-2012,Maids and Housekeeping Cleaners,-2.102381
37-2021,Pest Control Workers,-0.494887
37-3011,Landscaping and Groundskeeping Workers,-1.701905
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",-0.6260106
37-3013,Tree Trimmers and Pruners,-1.710986
39-1011,Gaming Supervisors,0.9604976
39-1012,Slot Supervisors,-0.8947245
39-1021,First-Line Supervisors of Personal Service Workers,-0.1535282
39-2011,Animal Trainers,-1.029674
39-2021,Nonfarm Animal Caretakers,-1.658312
39-3011,Gaming Dealers,-0.3150091
39-3012,Gaming and Sports Book Writers and Runners,0.189718
39-3021,Motion Picture Projectionists,0.3664268
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",-0.6086779
39-3091,Amusement and Recreation Attendants,-1.458932
39-3092,Costume Attendants,-0.3313408
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",-1.908043
39-4011,Embalmers,-0.4073465
39-4021,Funeral Attendants,-1.357057
39-4031,"Morticians, Undertakers, and Funeral Directors",-0.3961811
39-5011,Barbers,-0.9609541
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",-0.3888467
39-5091,"Makeup Artists, Theatrical and Performance",0.3093746
39-5092,Manicurists and Pedicurists,0.2710444
39-5093,Shampooers,-1.740773
39-5094,Skincare Specialists,-0.4736485
39-6011,Baggage Porters and Bellhops,-1.960085
39-6012,Concierges,0.1186706
39-7011,Tour Guides and Escorts,-0.5738792
39-7012,Travel Guides,0.6071175
39-9011,Childcare Workers,-0.6149341
39-9021,Personal Care Aides,-1.397571
39-9031,Fitness Trainers and Aerobics Instructors,-3.307651
39-9032,Recreation Workers,-0.7991995
39-9041,Residential Advisors,-0.1985333
41-1011,First-Line Supervisors of Retail Sales Workers,-0.5034398
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1.269502
41-2011,Cashiers,-0.8545607
41-2012,Gaming Change Persons and Booth Cashiers,-0.3736283
41-2021,Counter and Rental Clerks,-0.4233016
41-2022,Parts Salespersons,-0.4396567
41-2031,Retail Salespersons,-0.7188671
41-3011,Advertising Sales Agents,1.129713
41-3021,Insurance Sales Agents,0.6781299
41-3031,"Securities, Commodities, and Financial Services Sales Agents",0.7731147
41-3041,Travel Agents,0.3339365
41-3099,"Sales Representatives, Services, All Other",0.9372596
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.6750216
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.1783165
41-9011,Demonstrators and Product Promoters,-0.3426091
41-9012,Models,-1.800854
41-9021,Real Estate Brokers,0.4538456
41-9022,Real Estate Sales Agents,1.148021
41-9031,Sales Engineers,1.335098
41-9041,Telemarketers,-1.428249
41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",0.0474758
43-1011,First-Line Supervisors of Office and Administrative Support Workers,0.6262324
43-2011,"Switchboard Operators, Including Answering Service",-0.5394033
43-2021,Telephone Operators,-0.8204122
43-3011,Bill and Account Collectors,0.7641455
43-3021,Billing and Posting Clerks,1.02969
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",0.7600526
43-3041,Gaming Cage Workers,-0.5270686
43-3051,Payroll and Timekeeping Clerks,0.782409
43-3061,Procurement Clerks,0.7236916
43-3071,Tellers,-0.0573272
43-4011,Brokerage Clerks,0.737874
43-4021,Correspondence Clerks,0.7082393
43-4031,"Court, Municipal, and License Clerks",0.2678987
43-4041,"Credit Authorizers, Checkers, and Clerks",0.5655808
43-4051,Customer Service Representatives,0.415471
43-4061,"Eligibility Interviewers, Government Programs",0.3133318
43-4071,File Clerks,0.5374383
43-4081,"Hotel, Motel, and Resort Desk Clerks",0.0709665
43-4111,"Interviewers, Except Eligibility and Loan",0.2056872
43-4121,"Library Assistants, Clerical",-0.1322406
43-4131,Loan Interviewers and Clerks,1.018876
43-4141,New Accounts Clerks,0.3843769
43-4151,Order Clerks,0.5277651
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",0.7759914
43-4171,Receptionists and Information Clerks,0.4573164
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,-0.5221337
43-5011,Cargo and Freight Agents,1.237608
43-5021,Couriers and Messengers,-0.8782806
43-5031,"Police, Fire, and Ambulance Dispatchers",0.5620914
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",1.069298
43-5041,"Meter Readers, Utilities",-0.6233584
43-5051,Postal Service Clerks,-1.295399
43-5052,Postal Service Mail Carriers,-1.133507
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",-1.586222
43-5061,"Production, Planning, and Expediting Clerks",0.6193143
43-5071,"Shipping, Receiving, and Traffic Clerks",-0.5646621
43-5081,Stock Clerks and Order Fillers,-1.325202
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.0036541
43-6011,Executive Secretaries and Executive Administrative Assistants,0.6545269
43-6012,Legal Secretaries,0.4807182
43-6013,Medical Secretaries,0.3935473
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.2640257
43-9011,Computer Operators,1.143675
43-9021,Data Entry Keyers,0.2936253
43-9022,Word Processors and Typists,0.5258988
43-9031,Desktop Publishers,1.838704
43-9041,Insurance Claims and Policy Processing Clerks,0.5369916
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",-1.03093
43-9061,"Office Clerks, General",0.6237696
43-9071,"Office Machine Operators, Except Computer",-0.5532699
43-9081,Proofreaders and Copy Markers,0.6419724
43-9111,Statistical Assistants,1.791101
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",-0.2606115
45-2011,Agricultural Inspectors,0.5068775
45-2021,Animal Breeders,-1.072465
45-2041,"Graders and Sorters, Agricultural Products",-2.188827
45-2091,Agricultural Equipment Operators,-0.8547034
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",-1.590792
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",-0.8984643
45-3011,Fishers and Related Fishing Workers,-1.135979
45-3021,Hunters and Trappers,-0.6322411
45-4011,Forest and Conservation Workers,-0.9001154
45-4021,Fallers,-1.498815
45-4022,Logging Equipment Operators,0.0052305
45-4023,Log Graders and Scalers,0.1108848
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,-0.0124179
47-2011,Boilermakers,-0.8259925
47-2021,Brickmasons and Blockmasons,-1.527488
47-2022,Stonemasons,-1.65309
47-2031,Carpenters,-1.13992
47-2041,Carpet Installers,-1.434723
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",-1.398208
47-2043,Floor Sanders and Finishers,-1.827787
47-2044,Tile and Marble Setters,-0.8504819
47-2051,Cement Masons and Concrete Finishers,-1.529691
47-2053,Terrazzo Workers and Finishers,-1.535917
47-2061,Construction Laborers,-1.730415
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",-0.8029556
47-2072,Pile-Driver Operators,-0.4557943
47-2073,Operating Engineers and Other Construction Equipment Operators,-0.0701881
47-2081,Drywall and Ceiling Tile Installers,-1.466766
47-2082,Tapers,-1.505167
47-2111,Electricians,-0.1643123
47-2121,Glaziers,-1.279049
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",-1.406108
47-2132,"Insulation Workers, Mechanical",-1.419383
47-2141,"Painters, Construction and Maintenance",-1.580887
47-2142,Paperhangers,-1.527853
47-2151,Pipelayers,-1.04947
47-2152,"Plumbers, Pipefitters, and Steamfitters",-0.7583691
47-2161,Plasterers and Stucco Masons,-1.630645
47-2171,Reinforcing Iron and Rebar Workers,-1.9685
47-2181,Roofers,-1.779166
47-2211,Sheet Metal Workers,-0.7386251
47-2221,Structural Iron and Steel Workers,-1.47447
47-2231,Solar Photovoltaic Installers,-0.2922762
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",-1.728003
47-3012,Helpers--Carpenters,-1.162826
47-3013,Helpers--Electricians,-1.027616
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",-2.137725
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",-1.70948
47-3016,Helpers--Roofers,-1.963525
47-4011,Construction and Building Inspectors,0.9720325
47-4021,Elevator Installers and Repairers,-0.3476866
47-4031,Fence Erectors,-1.983882
47-4041,Hazardous Materials Removal Workers,-0.3680713
47-4051,Highway Maintenance Workers,-1.171033
47-4061,Rail-Track Laying and Maintenance Equipment Operators,-0.8163661
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,-0.9217188
47-4091,Segmental Pavers,-0.8332193
47-4099,"Construction and Related Workers, All Other",-0.5883142
47-5011,"Derrick Operators, Oil and Gas",-1.35991
47-5012,"Rotary Drill Operators, Oil and Gas",-0.517669
47-5013,"Service Unit Operators, Oil, Gas, and Mining",-0.758486
47-5021,"Earth Drillers, Except Oil and Gas",0.0255521
